text,label,department
Citizens have requested better sports ground request in town.,neutral,roads
Voltage fluctuations are damaging appliances in Market Area. Request inspection and stabilization of supply. Local shops are losing business due to this. Request to address when possible This has been ongoing for weeks.,neutral,electricity
Immediate action required: school building damage in main road.,urgent,roads
Public structure at MG Road needs inspection and repair; cracks appearing on walls. Local shops are losing business due to this. Urgent action needed,urgent,civil
Voltage fluctuations are damaging appliances in Near School. Request inspection and stabilization of supply. Routine attention is fine,later,electricity
Delay in issuing building permit for Lake Road stalls legitimate construction. This has been ongoing for weeks.,urgent,civil
"Drinking water supply has been stopped for days in Industrial Area. Residents are without water for cooking and bathing. Families and elderly are affected. Not urgent, can wait",later,water
Drinking water supply has been stopped for days in MG Road. Residents are without water for cooking and bathing. Families and elderly are affected. Kindly investigate the matter,neutral,water
The road near Old Bus Stand is washed away and is impassable during rains; please repair urgently. Children and patients are particularly impacted. Can be scheduled later,later,roads
Drinking water supply has been stopped for days in Market Area. Residents are without water for cooking and bathing. Children and patients are particularly impacted. Please fix immediately,urgent,water
Motorbike snatching occurred at Sector 5; CCTV and quick response required. Families and elderly are affected. This requires immediate attention We request a technician visit during office hours.,urgent,crime
Delay in issuing building permit for 5th Cross stalls legitimate construction. Local shops are losing business due to this. Please look into this Please coordinate with the local ward member.,neutral,civil
The road near 5th Cross is washed away and is impassable during rains; please repair urgently. Families and elderly are affected. This is an emergency This has been ongoing for weeks.,urgent,roads
There have been repeated thefts in Temple Street; increased police patrolling requested. Please fix immediately,urgent,crime
Frequent power cuts in Market Area disrupt businesses and studies. Need immediate repair to transformer. Children and patients are particularly impacted. Urgent action needed We request a technician visit during office hours.,urgent,electricity
Public toilets at Lake Road are unusable and improperly maintained; request cleaning and repair. Local shops are losing business due to this. Please look into this,neutral,sanitation
Suspicious persons and petty crimes reported near Block A; streetlights and patrol needed. Please look into this,neutral,crime
Public toilets at MG Road are unusable and improperly maintained; request cleaning and repair. Local shops are losing business due to this. Please consider for future maintenance,later,sanitation
Harassment incident reported at Near City Park; request police action and investigation. Can be scheduled later We request a technician visit during office hours.,later,crime
Motorbike snatching occurred at 5th Cross; CCTV and quick response required. Families and elderly are affected. Can be scheduled later,later,crime
Citizens have requested better need overhead water tank in bus stand.,neutral,water
A fallen electric pole on Near School poses a danger; urgent fix required. Local shops are losing business due to this. Routine attention is fine Please coordinate with the local ward member.,later,electricity
A burst water pipe at Industrial Area floods the road and affects nearby homes. This is causing significant inconvenience to residents. Can be scheduled later Photos can be provided on request.,later,water
Large potholes on Sector 5 are causing accidents and vehicle damage; request resurfacing. Please fix immediately,urgent,roads
Frequent power cuts in Sector 5 disrupt businesses and studies. Need immediate repair to transformer. Families and elderly are affected. Please take necessary steps Photos can be provided on request.,neutral,electricity
Long-term development needed: school building damage at highway.,later,civil
Garbage collection is irregular in MG Road; heaps of waste attract pests and foul smell. Children and patients are particularly impacted. Please take necessary steps This has been ongoing for weeks.,neutral,sanitation
Need improvement in school building damage at town.,neutral,civil
Traffic signals at Sector 5 are non-functional leading to congestion and safety issues. This is an emergency This has been ongoing for weeks.,urgent,roads
Collapsed boundary wall at Near City Park is a safety risk to children and pedestrians. This requires immediate attention,urgent,civil
"There is continuous leakage from the main pipeline on Near School, causing low water pressure and contamination concerns.",urgent,water
A fallen electric pole on Industrial Area poses a danger; urgent fix required. Children and patients are particularly impacted. Urgent action needed,urgent,electricity
Long-term development needed: solar street lights installation at school zone.,later,roads
Unauthorized construction at Market Area violates building regulations and blocks sunlight to nearby homes. Children and patients are particularly impacted. This has been ongoing for weeks.,neutral,civil
The road near Old Bus Stand is washed away and is impassable during rains; please repair urgently. Children and patients are particularly impacted. Urgent action needed Please coordinate with the local ward member.,urgent,roads
Street lights are not working on Near School at night causing safety hazards. This is causing significant inconvenience to residents. Please fix immediately Please coordinate with the local ward member.,urgent,electricity
Suspicious persons and petty crimes reported near Industrial Area; streetlights and patrol needed. Local shops are losing business due to this. Please fix immediately This has been ongoing for weeks.,urgent,crime
The road near 5th Cross is washed away and is impassable during rains; please repair urgently. Kindly investigate the matter,neutral,roads
Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. This requires immediate attention,urgent,electricity
Frequent power cuts in Old Bus Stand disrupt businesses and studies. Need immediate repair to transformer. Please fix immediately Photos can be provided on request.,urgent,electricity
"Sewage overflow at Near City Park contaminates street and poses health risks. Not urgent, can wait Please coordinate with the local ward member.",later,sanitation
Suspicious persons and petty crimes reported near Block A; streetlights and patrol needed. This is causing significant inconvenience to residents.,neutral,crime
Motorbike snatching occurred at MG Road; CCTV and quick response required. Urgent action needed,urgent,crime
Unauthorized construction at Old Bus Stand violates building regulations and blocks sunlight to nearby homes. Families and elderly are affected. This requires immediate attention,urgent,civil
Public toilets at Lake Road are unusable and improperly maintained; request cleaning and repair. Families and elderly are affected. This requires immediate attention We request a technician visit during office hours.,urgent,sanitation
Public structure at Lake Road needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted. Please look into this,neutral,civil
A burst water pipe at Sector 5 floods the road and affects nearby homes. This is causing significant inconvenience to residents. We request a technician visit during office hours.,later,water
Open drains clogged at Old Bus Stand create breeding grounds for mosquitoes. Local shops are losing business due to this. This requires immediate attention,urgent,sanitation
Collapsed boundary wall at Lake Road is a safety risk to children and pedestrians. Families and elderly are affected. This is an emergency,urgent,civil
Garbage collection is irregular in Block A; heaps of waste attract pests and foul smell. Can be scheduled later,later,sanitation
Traffic signals at Market Area are non-functional leading to congestion and safety issues. Children and patients are particularly impacted. Routine attention is fine Please coordinate with the local ward member.,later,roads
The road near Near School is washed away and is impassable during rains; please repair urgently. This is causing significant inconvenience to residents. Urgent action needed Please coordinate with the local ward member.,urgent,roads
Garbage collection is irregular in Industrial Area; heaps of waste attract pests and foul smell. Families and elderly are affected. Please take necessary steps,neutral,sanitation
Request for new project regarding sewage overflow in bus stand.,later,water
Sewage overflow at Near School contaminates street and poses health risks. This is an emergency,urgent,sanitation
Public structure at Near School needs inspection and repair; cracks appearing on walls. This is causing significant inconvenience to residents. Routine attention is fine,later,civil
Frequent power cuts in Near CityPark disrupt businesses and studies. Need immediate repair to transformer. Routine attention is fine,later,electricity
Request for new project regarding school building damage in residential colony.,later,civil
Dirty water is coming from the tap in River Side. Suspect contamination near the supply source. Please consider for future maintenance,later,water
Long-term development needed: building public library at main road.,later,roads
There have been repeated thefts in Lake Road; increased police patrolling requested. Children and patients are particularly impacted. Please look into this,neutral,crime
A fallen electric pole on Lake Road poses a danger; urgent fix required. Children and patients are particularly impacted. Request to address when possible We request a technician visit during office hours.,neutral,electricity
Voltage fluctuations are damaging appliances in Sector 5. Request inspection and stabilization of supply. This requires immediate attention,urgent,electricity
Delay in issuing building permit for Industrial Area stalls legitimate construction. Please fix immediately Please coordinate with the local ward member.,urgent,civil
Road construction left debris at Temple Street. Vehicles are being damaged frequently. Families and elderly are affected. Kindly investigate the matter,neutral,roads
Garbage collection is irregular in Market Area; heaps of waste attract pests and foul smell. This is causing significant inconvenience to residents. This requires immediate attention,urgent,sanitation
Harassment incident reported at Near City Park; request police action and investigation. Families and elderly are affected. Can be scheduled later Please coordinate with the local ward member.,later,crime
Frequent power cuts in River Side disrupt businesses and studies. Need immediate repair to transformer. Request to address when possible,neutral,electricity
Open drains clogged at Industrial Area create breeding grounds for mosquitoes. Please look into this,neutral,sanitation
Garbage collection is irregular in Old Bus Stand; heaps of waste attract pests and foul smell. Local shops are losing business due to this. Routine attention is fine We request a technician visit during office hours.,later,sanitation
Collapsed boundary wall at 5th Cross is a safety risk to children and pedestrians. This is causing significant inconvenience to residents. Request to address when possible,neutral,civil
Motorbike snatching occurred at Market Area; CCTV and quick response required. Please take necessary steps Photos can be provided on request.,neutral,crime
Voltage fluctuations are damaging appliances in Near City Park. Request inspection and stabilization of supply. This is causing significant inconvenience to residents. Kindly investigate the matter,neutral,electricity
A burst water pipe at 5th Cross floods the road and affects nearby homes. Families and elderly are affected. Please fix immediately,urgent,water
Open drains clogged at MG Road create breeding grounds for mosquitoes. Families and elderly are affected. Please take necessary steps,neutral,sanitation
A burst water pipe at Old Bus Stand floods the road and affects nearby homes.,later,water
A burst water pipe at Lake Road floods the road and affects nearby homes. Local shops are losing business due to this. Urgent action needed,urgent,water
There have been repeated thefts in Industrial Area; increased police patrolling requested. Local shops are losing business due to this. Please consider for future maintenance This has been ongoing for weeks.,later,crime
Public structure at Sector 5 needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted. Kindly investigate the matter This has been ongoing for weeks.,neutral,civil
Suspicious persons and petty crimes reported near Market Area; streetlights and patrol needed. Urgent action needed This has been ongoing for weeks.,urgent,crime
Harassment incident reported at MG Road; request police action and investigation. Families and elderly are affected. Kindly investigate the matter,neutral,crime
Motorbike snatching occurred at Old Bus Stand; CCTV and quick response required. Please coordinate with the local ward member.,urgent,crime
Large potholes on Block A are causing accidents and vehicle damage; request resurfacing. Routine attention is fine,later,roads
Motorbike snatching occurred at Block A; CCTV and quick response required. This is causing significant inconvenience to residents. Kindly investigate the matter,neutral,crime
Street lights are not working on Near City Park at night causing safety hazards. Local shops are losing business due to this. Can be scheduled later This has been ongoing for weeks.,later,electricity
Public toilets at 5th Cross are unusable and improperly maintained; request cleaning and repair. This requires immediate attention Please coordinate with the local ward member.,urgent,sanitation
The road near Lake Road is washed away and is impassable during rains; please repair urgently. Routine attention is fine,later,roads
Suspicious persons and petty crimes reported near 5th Cross; streetlights and patrol needed. Kindly investigate the matter,neutral,crime
Drinking water supply has been stopped for days in 5th Cross. Residents are without water for cooking and bathing. Children and patients are particularly impacted. Please look into this,neutral,water
Traffic signals at Industrial Area are non-functional leading to congestion and safety issues. Families and elderly are affected. Please take necessary steps This has been ongoing for weeks.,neutral,roads
Suspicious persons and petty crimes reported near Lake Road; streetlights and patrol needed. This is an emergency We request a technician visit during office hours.,urgent,crime
Frequent power cuts in 5th Cross disrupt businesses and studies. Need immediate repair to transformer. Can be scheduled later,later,electricity
Sewage overflow at Block A contaminates street and poses health risks. This is causing significant inconvenience to residents. Please fix immediately We request a technician visit during office hours.,urgent,sanitation
construction of bus stand has created unsafe conditions in hospital area. Needs urgent fix.,urgent,civil
Harassment incident reported at Market Area; request police action and investigation. Children and patients are particularly impacted. Please take necessary steps,neutral,crime
Sewage overflow at River Side contaminates street and poses health risks. Local shops are losing business due to this. This requires immediate attention,urgent,sanitation
"Sewage overflow at MG Road contaminates street and poses health risks. Families and elderly are affected. Not urgent, can wait We request a technician visit during office hours.",later,sanitation
Public structure at Lake Road needs inspection and repair; cracks appearing on walls. Urgent action needed,urgent,civil
The road near Block A is washed away and is impassable during rains; please repair urgently. This requires immediate attention This has been ongoing for weeks.,urgent,roads
The road near Lake Road is washed away and is impassable during rains; please repair urgently. This is causing significant inconvenience to residents. Please take necessary steps,neutral,roads
Harassmennt incident reported at MG Road; request police action and investigation. This is causing significant inconvenience to residents. Urgent action needed Photos can be provided on request.,urgent,crime
Public structure at Temple Street needs inspection and repair; cracks appearing on walls. Local shops are losing business due to this.,urgent,civil
Garbage collection is irregular in River Side; heaps of waste attract pests and foul smell. This is causing significant inconvenience to residents. Kindly investigate the matter Photos can be provided on request.,neutral,sanitation
Urgent complaint regarding electricity outage. Needs quick attention at bus stand.,urgent,electricity
A fallen electric pole on MG Road poses a danger; urgent fix required. Can be scheduled later,later,electricity
The road near Near School is washed away and is impassable during rains; please repair urgently. Children and patients are particularly impacted. Please coordinate with the local ward member.,later,roads
Street lights are not working on Old Bus Stand at night causing safety hazards. This is causing significant inconvenience to residents. Routine attention is fine,later,electricity
"There is continuous leakage from the main pipeline on 5th Cross, causing low water pressure and contamination concerns. Please look into this Photos can be provided on request.",neutral,water
Frequent power cuts in Market Area disrupt businesses and studies. Need immediate repair to transformer. Local shops are losing business due to this. Urgent action needed,urgent,electricity
Frequent power cuts in Near School disrupt businesses and studies. Need immediate repair to transformer. Local shops are losing business due to this. Please fix immediately Please coordinate with the local ward member.,urgent,electricity
Public toilets at Near School are unusable and improperly maintained; request cleaning and repair. This is causing significant inconvenience to residents. Please look into this Please coordinate with the local ward member.,neutral,sanitation
Public toilets at Old Bus Stand are unusable and improperly maintained; request cleaning and repair. Please take necessary steps This has been ongoing for weeks.,neutral,sanitation
Garbage collection is irregular in Lake Road; heaps of waste attract pests and foul smell. Families and elderly are affected. We request a technician visit during office hours.,later,sanitation
Sewage overflow at Market Area contaminates street and poses health risks. Families and elderly are affected. Kindly investigate the matter,neutral,sanitation
Street lights are not working on Lake Road at night causing safety hazards. This is causing significant inconvenience to residents. Please fix immediately,urgent,electricity
Motorbike snatching occurred at River Side; CCTV and quick response required. Please consider for future maintenance,later,crime
Large potholes on Near City Park are causing accidents and vehicle damage; request resurfacing. Children and patients are particularly impacted. Please take necessary steps,neutral,roads
Garbage collection is irregular in Near City Park; heaps of waste attract pests and foul smell. Families annd elderly are affected. Urgent action needed,urgent,sanitation
Open drains clogged at Industrial Area create breeding grounds for mosquitoes. Families and elderly are affected. Kindly investigate the matter,neutral,sanitation
Voltage fluctuations are damaging appliances in Near Ciyt Park. Request inspection and stabilization of supply. Routine attention is fine,later,electricity
A burst water pipe at Temple Street floods the road and affects nearby homes. Children and patients are particularly impacted. Please consider for future maintenance Photos can be provided on request.,later,water
Open drains clogged at Market Area create breeding grounds for mosquitoes. This is causing significant inconvenience to residents. This is an emergency This has been ongoing for weeks.,urgent,sanitation
Garbage collection is irregular in Sector 5; heaps of waste attract pests and foul smell.,later,sanitation
Motorbike snatching occurred at River Side; CCTV and quick response required. Families and elderly are affected. Please consider for future maintenance,later,crime
Suggestion to resolve broken road in market area.,neutral,roads
Road construction left debris at Old Bus Stand. Vehicles are being damaged frequently. Please take necessary steps Photos can be provided on request.,neutral,roads
Large potholes on Old Bus Stand are causing accidents and vehicle damage; request resurfacing. Please consider for future maintenance,later,roads
Collapsed boundary wall at Temple Street is a safety risk to children and pedestrains. Local shops are losing business due to this.,urgent,civil
Collapsed boundary wall at Sector 5 is a safety risk to children and pedestrians. Urgent action needed,urgent,civil
Large potholes on Sector 5 are causing accidents and vehicle damage; request resurfacing. Children and patients are particularly impacted. Can be scheduled later Please coordinate with the local ward member.,later,roads
Open drains clogged at Sector 5 create breeding grounds for mosquitoes. Can be scheduled later This has been ongoing for weeks.,later,sanitation
The road near Near City Park is washed away and is impassable during rains; please repair urgently. This is causing significant inconvenience to residents. Please fix immediately,urgent,roads
Urgent complaint regarding sewage overflow. Needs quick attention at city.,urgent,water
Open drains clogged at Sector 5 create breeding grounds for mosquitoes. Families and elderly are affected.,urgent,sanitation
Public structure at Market Area needs inspection and repair; cracks appearing on walls. This requires immediate attention We request a technician visit during office hours.,urgent,civil
"Large potholes on Old Bus Stand are causing accidents and vehicle damage; request resurfacing. Not urgent, can wait",later,roads
Moderate issue observed: building public library at main road. Kindly check.,neutral,roads
Street lights are not working on Market Area at night causing safety hazards. Urgent action needed,urgent,electricity
Unauthorized construction at Temple Street violates building regulations and blocks sunlight to nearby homes. This is causing significant inconvenience to residents. This requires immediate attention,urgent,civil
Voltage fluctuations are damaging appliances in Market Area. Request inspection and stabilization of supply. Can be scheduled later,later,electricity
Future requirement for garbage pileup in city.,later,sanitation
Road construction left debris at 5th Cross. Vehicles are being damaged frequently. Kindly investigate the matter We request a technician visit during office hours.,neutral,roads
The road near Industrial Area is washed away and is impassable during rains; please repair urgently. Routine attention is fine,later,roads
"Dirty water is coming from the tap in Near City Park. Suspect contamination near the supply source. Local shops are losing business due to this. Not urgent, can wait Please coordinate with the local ward member.",later,water
"There is continuous leakage from the main pipeline on Market Area, causing low water pressure and contamination concerns. This is an emergency",urgent,water
Dirty water is coming from the tap in Lake Road. Suspect contamination near the supply source. Local shops are losing business due to this. Please consider for future maintenance,later,water
"There is continuous leakage from the main pipeline on Industrial Area, causing low water pressure and contamination concerns. This requires imediate attention",urgent,water
Public structure at Lake Road needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted. Please fix immediately,urgent,civil
Public toilets at MG Road are unusable and improperly maintained; request cleaning and repair. Local shops are losing business due to this. We request a technician visit during office hours.,neutral,sanitation
Traffic signals at Industrial Area are non-functional leading to congestion and safety issues.,later,roads
Public structure at Old Bus Stand needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted. Request to address when possible,neutral,civil
Urgent complaint regarding need new school. Needs quick attention at bus stand.,urgent,roads
Garbage collection is irregular in Near School; heaps of waste attract pests and foul smell. This is causing significant inconvenience to residents. Kindly investigate the matter,neutral,sanitation
Dirty water is coming from the tap in Lake Road. Suspect contamination near the supply source. Please consider for future maintenance,later,water
Request for garbage pileup at main road.,neutral,roads
Request for new project regarding solar street lights installation in town.,later,roads
Traffic signals at Lake Road are non-functional leading to congestion and safety issues. This requires immediate attention,urgent,roads
Traffic signals at Sector 5 are non-functional leading to congestion and safety issues. This is causing significant inconvenience to residents. This requires immediate attention Please coordinate with the local ward member.,urgent,roads
Frequent power cuts in Old Bus Stand disrupt businesses and studies. Need immediate repair to transformer. Children and patients are particularly impacted.,urgent,electricity
sports ground request has created unsafe conditions in market area. Needs urgent fix.,urgent,water
Public toilets at Old Bus Stand are unusable and improperly maintained; request cleaning and repair. Please look into this,neutral,sanitation
Street lights are not working on Temple Street at night causing safety hazards. Children and patients are particularly impacted. This is an emergency We request a technician visit during office hours.,urgent,electricity
Harassment incident reported at Block A; request police action and investigation. Routine attention is fine Photos can be provided on request.,later,crime
Harassment incident reported at Industrial Area; request police action and investigation. Local shops are losing business due to this. Please consider for future maintenance Please coordinate with the local ward member.,later,crime
"Public structure at Lake Road needs inspection and repair; cracks appearing on walls. This is causing significant inconvenience to residents. Not urgent, can wait",later,civil
"There is continuous leakage from the main pipeline on Sector 5, causing low water pressure and contamination concerns. Families and elderly are affected. Can be scheduled later We request a technician visit during office hours.",later,water
Public structure at Old Bus Stand needs inspection and repair; cracks appearing on walls. Local shops are losing business due to this. Urgent action needed Photos can be provided on request.,urgent,civil
There have been repeated thefts in Temple Street; increased police patrolling requested. This is causing significant inconvenience to residents.,urgent,crime
Street lights are not working on Sector 5 at night causing safety hazards. Urgent action needed,urgent,electricity
Large potholes on River Side are causing accidents and vehicle damage; request resurfacing. Families and elderly are affected. Please take necessary steps,neutral,roads
Proposal to improve need overhead water tank in residential colony in future plans.,later,water
need overhead water tank has created unsafe conditions in school zone. Needs urgent fix.,urgent,water
A burst water pipe at MG Road floods the road and affects nearby homes. Can be scheduled later,later,water
Traffic signals at Temple Street are non-functional leading to congestion and safety issues. Please look into this,neutral,roads
"There is continuous leakage from the main pipeline on Near School, causing low water pressure and contamination concerns.",later,water
Immediate action required: sewage overflow in residential colony.,urgent,water
A fallen electric pole on Lake Road poses a danger; urgent fix required. This is an emergency Photos can be provided on request.,urgent,electricity
A fallen electric pole on Block A poses a danger; urgent fix required. Families and elderly are affected. Please look into this Please coordinate with the local ward member.,neutral,electricity
A burst water pipe at Near City Park floods the road and affects nearby homes. This is causing significant inconvenience to residents. Please take necessary steps,neutral,water
Road construction left debris at Industrial Area. Vehicles are being damaged frequently. This requires immediate attention,urgent,roads
Sewage overflow at Temple Street contaminates street and poses health risks. Local shops are losing business due to this. This is an emergency,urgent,sanitation
Motorbike snatching occurred at Industrial Area; CCTV and quick response required. Children and patients are particularly impacted. This requires immediate attention This has been ongoing for weeks.,urgent,crime
Citizens have requested better water supply shortage in bus stand.,neutral,water
There have been repeated thefts in 5th Cross; increased police patrolling requested. Please consider for future maintenance We request a technician visit during office hours.,later,crime
Garbage collection is irregular in Market Area; heaps of waste attract pests and foul smell. This is causing significant inconvenience to residents. This requires immediate attention,urgent,sanitation
Open drains clogged at Near School create breeding grounds for mosquitoes. Children and patients are particularly impacted. Please look into this,neutral,sanitation
Moderate issue observed: need overhead water tank at school zone. Kindly check.,neutral,water
"Motorbike snatching occurred at Sector 5; CCTV and quick response required. Not urgent, can wait",later,crime
A fallen electric pole on Market Area poses a danger; urgent fix required. Local shops are losing business due to this. This is an emergency,urgent,electricity
Large potholes on Sector 5 are causing accidents and vehicle damage; request resurfacing. Urgent action needed Photos can be provided on request.,urgent,roads
Voltage fluctuations are damaging appliances in MG Road. Request inspection and stabilization of supply. Local shops are losing business due to this. Routine attention is fine Photos can be provided on request.,later,electricity
Dirty water is coming from the tap in Industrial Area. Suspect contamination near the supply source. Local shops are losing business due to this. Please coordinate with the local ward member.,urgent,water
Traffic signals at Near City Park are non-functional leading to congestion and safety issues. Urgent action needed,urgent,roads
Delay in issuing building permit for Industrial Area stalls legitimate construction. This requires immediate attention,urgent,civil
Citizens have requested better need new school in bus stand.,neutral,roads
Public toilets at River Side are unusable and improperly maintained; request cleaning and repair. We request a technician visit during office hours.,urgent,sanitation
The road near Blocck A is washed away and is impassable during rains; please repair urgently. Urgent action needed We request a technician visit during office hours.,urgent,roads
Voltage fluctuations are damaging appliances in Market Area. Request inspection and stabilization of supply. This is an emergency,urgent,electricity
Drinking water supply has been stopped for days in Sector 5. Residents are without water for cooking and bathing. This is causing significant inconvenience to residents. Routine attention is fine Please coordinate with the local ward member.,later,water
Sewage overflow at Old Bus Stand contaminates street and poses health risks. Children and patients are particularly impacted. Please take necessary steps This has been ongoing for weeks.,neutral,sanitation
"Suspicious persons and petty crimes reported near Sector 5; streetlights and patrol needed. Local shops are losing business due to this. Not urgent, can wait",later,crime
"Garbage collection is irregular in Temple Street; heaps of waste attract pests and foul smell. Not urgent, can wait",later,sanitation
Large potholes on Block A are causing accidents and vehicle damage; request resurfacing. Please take necessary steps,neutral,roads
Suspicious persons and petty crimes reported near Old Bus Stand; streetlights and patrol needed. Families and elderly are affected. Can be scheduled later This has been ongoing for weeks.,later,crime
A fallen electric pole on Old Bus Stand poses a danger; urgent fix required. Urgent action needed,urgent,electricity
Motorbike snatching occurred at MG Road; CCTV and quick response required. Can be scheduled later Please coordinate with the local ward member.,later,crime
Frequent power cuts in Block A disrupt businesses and studies. Need immediate repair to transformer. Urgent action needed,urgent,electricity
A burst water pipe at Near City Park floods the road and affects nearby homes. Children and patients are particularly impacted. Request to address when possible,neutral,water
Frequent power cuts in Industrial Area disrupt businesses and studies. Need immediate repair to transformer. Children and patients are particularly impacted. Please look into this,neutral,electricity
There have been repeated thefts in River Side; increased police patrolling requested. This is causing significant inconvenience to residents. Urgent action needed,urgent,crime
Harassment incident reported at Market Area; request police action and investigation. This is causing significant inconvenience to residents. Kindly investigate the matter Photos can be provided on request.,neutral,crime
Public toilets at Sector 5 are unusable and improperly maintained; request cleaning and repair. Please fix immediately,urgent,sanitation
The road near Old Bus Stand is washed away and is impassable during rains; please repair urgently. This is causing significant inconvenience to residents. This is an emergency This has been ongoing for weeks.,urgent,roads
There have been repeated thefts in Near School; increased police patrolling requested. Children and patients are particularly impacted. This requires immediate attention,urgent,crime
Large potholes on Near School are causing accidents and vehicle damage; request resurfcaing. Please consider for future maintenance Photos can be provided on request.,later,roads
There have been repeated thefts in MG Road; increased police patrolling requested. Local shops are losing business due to this. Urgent action needed,urgent,crime
Dirty water is coming from the tap in River Side. Suspect contamination near the supply source. Please coordinate with the local ward member.,later,water
Request for new project regarding hospital medicine shortage in bus stand.,later,roads
Dirty water is coming from the tap in Temple Street. Suspect contamination near the supply source. Children and patients are particularly impacted. Urgent action needed,urgent,water
Large potholes on Industrial Area are causing accidets and vehicle damage; request resurfacing. Families and elderly are affected. This is an emergency Photos can be provided on request.,urgent,roads
Long-term development needed: garbage pileup at city.,later,sanitation
Dirty water is coming from the tap in Sector 5. Suspect contamination near the supply source. Children and patients are particularly impacted. Please consider for future maintenance,later,water
There have been repeated thefts in 5th Cross; increased police patrolling requested. Families and elderly are affected. This requires immediate attention Photos can be provided on request.,urgent,crime
Open drains clogged at Market Area create breeding grounds for mosquitoes. Local shops are losing business due to this. Routine attention is fine,later,sanitation
A burst water pipe at MG Road floods the road and affects nearby homes. Local shops are losing business due to this. This is an emergency,urgent,water
"There is continuous leakage from the main pipeline on 5th Cross, causing low water pressure and contamination concerns. Local shops are losing business due to this. Please take necessary steps",neutral,water
The road near Old Bus Stand is washed away and is impassable during rains; pls repair urgently. This is an emergency,urgent,roads
"Garbage collection is irregular in Market Area; heaps of waste attract pests and foul smell. Local shops are losing business due to this. Not urgent, can wait",later,sanitation
Suspicious persons and petty crimes reported near Near City Park; streetlights and patrol needed. Children and patients are particularly impacted. Kindly investigate the matter,neutral,crime
"A fallen electric pole on MG Road poses a danger; urgent fix required. This is causing significant inconvenience to residents. Not urgent, can wait",later,electricity
"There is continuous leakage from the main pipeline on Lake Road, causing low water pressure and contamination concerns. Request to address when possiible This has been ongoing for weeks.",neutral,water
Frequent power cuts in Lake Road disrupt businesses and studies. Need immediate repair to transformer. Local shops are losing business due to this. Kindly investigate the matter Photos can be provided on request.,neutral,electricity
Harassment incident reported at 5th Cross; request police action and investigation. Local shops are losing business due to this. This requires immediate attention We request a technician visit during office hours.,urgent,crime
Motorbike snatching occurred at Market Area; CCTV and quick response required. Children and patients are particularly impacted. This requires immediate attention,urgent,crime
Drinking water supply has been stopped for days in 5th Cross. Residents are without water for cooking and bathing. We request a technician visit during office hours.,later,water
Moderate issue observed: hospital medicine shortage at town. Kindly check.,neutral,roads
Street lights are not working on MG Road at night causing safety hazards. Families and elderly are affected. Request to address when possible,neutral,electricity
Suspicious persons and petty crimes reported near 5th Cross; streetlights and patrol needed. Request to address when possible,neutral,crime
Immediate action required: need overhead water tank in city.,urgent,water
Suspicious persons and petty crimes reported near Sector 5; streetlights and patrol needed. Families and elderly are affected. Kindly investigate the matter We request a technician visit during office hours.,neutral,crime
"There is continuous leakage from the main pipeline on Lake Road, causing low water pressure and contamination concerns. This is causing significant inconvenience to residents. This is an emergency This has been ongoing for weeks.",urgent,water
Citizens have requested better water supply shortage in city.,neutral,water
The road near Near City Park is washed away and is impassable during rains; please repair urgently. Urgent action needed,urgent,roads
Large potholes on Industrial Area are causing accidents and vehicle damage; request resurfacing. Children and patients are particularly impacted. Please fix immediately This has been ongoing for weeks.,urgent,roads
There have been repeated thefts in Market Area; increased police patrolling requested. Local shops are losing business due to this. Urgent action needed Please coordinate with the local ward member.,urgent,crime
There have been repeated thefts in Sector 5; increased police patrolling requested. This requires immediate attention,urgent,crime
Dirty water is coming from the tap in Old Bus Stand. Suspect contamination near the supply source. Please fix immediately Photos can be provided on request.,urgent,water
Sewage overflow at Near City Park contaminates street and poses health risks. This requires immediate attention,urgent,sanitation
Dirty water is coming from the tap in Lake Road. Suspect contamination near the supply source. Please consider for future maintenance,later,water
Motorbike snatching occurred at Temple Street; CCTV and quick response required. Local shops are losing business due to this. Request to address when possible Photos can be provided on request.,neutral,crime
Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. Kindly investigate the matter This has been ongoing for weeks.,neutral,electricity
Motorbike snatching occurred at Industrial Area; CCTV and quick response required. Routine attention is fine,later,crime
Voltage fluctuations are damaging appliances in Old Bus Stand. Request inspection and stabilization of supply. Local shops are losing business due to this. Routine attention is fine,later,electricity
Dirty water is coming from the tap in Sector 5. Suspect contamination near the supply source. Request to address when possible,neutral,water
Drinking water supply has been stopped for days in Near City Park. Residents are without water for cooking and bathing. Please fix immediately,urgent,water
"There is continuous leakage from the main pipeline on Sector 5, causing low water pressure and contamination concerns. Families and elderly are affected. Request to address when possible We request a technician visit during office hours.",neutral,water
Harassment incident reported at Temple Street; request police action and investigation. Please consider for future maintenance Photos can be provided on request.,later,crime
Garbage collection is irregular in River Side; heaps of waste attract pests and foul smell. Local shops are losing business due to this. Please fix immediately,urgent,sanitation
Dirty water is coming from the tap in MG Road. Suspect contamination near the supply source. Local shops are losing business due to this. Routine attention is fine,later,water
Traffic signals at Block A are non-functional leading to congestion and safety issues. This is an emergency,urgent,roads
